Date,Open_usd_vs_inr,High_usd_vs_inr,Low_usd_vs_inr,Close_usd_vs_inr,Adj Close_usd_vs_inr
1-Jan-18,63.840801,63.869999,63.66,63.840801,63.840801
2-Jan-18,63.867599,63.867599,63.419998,63.867599,63.867599
3-Jan-18,63.380001,63.580002,63.380001,63.459999,63.459999
4-Jan-18,63.419102,63.59,63.330002,63.419102,63.419102
5-Jan-18,63.369598,63.419998,63.209999,63.369598,63.369598
8-Jan-18,63.264999,63.529999,63.23,63.264999,63.264999
9-Jan-18,63.451801,63.73,63.419998,63.452,63.452
10-Jan-18,63.635601,63.84,63.568001,63.636101,63.636101
11-Jan-18,63.759998,63.84,63.634998,63.759998,63.759998
12-Jan-18,63.6721,63.720001,63.478001,63.6721,63.6721
15-Jan-18,63.588501,63.5951,63.330002,63.588501,63.588501
16-Jan-18,63.522202,64.129997,63.505501,63.521198,63.521198
17-Jan-18,63.994301,64.084999,63.77,63.994301,63.994301
18-Jan-18,63.825001,63.950001,63.759998,63.825001,63.825001
19-Jan-18,63.867599,63.880001,63.625,63.867599,63.867599
22-Jan-18,63.8321,63.990002,63.720001,63.8321,63.8321
23-Jan-18,63.8801,63.889999,63.740002,63.8801,63.8801
24-Jan-18,63.750198,63.779999,63.558102,63.7505,63.7505
25-Jan-18,63.5779,63.639999,63.400002,63.5779,63.5779
26-Jan-18,63.573799,63.66,63.439999,63.573101,63.573101
29-Jan-18,63.57,63.709999,63.490002,63.57,63.57
30-Jan-18,63.669399,63.82,63.57,63.669399,63.669399
31-Jan-18,63.77,63.77,63.545799,63.769901,63.769901
1-Feb-18,63.665001,64.080002,63.542999,63.665001,63.665001
2-Feb-18,63.974998,64.235001,63.73,63.974998,63.974998
5-Feb-18,64.1325,64.230003,64.004997,64.1325,64.1325
6-Feb-18,64.314697,64.464996,64.059898,64.314697,64.314697
7-Feb-18,63.98,64.309998,63.98,63.98,63.98
8-Feb-18,64.199997,64.480003,64.150002,64.199997,64.199997
9-Feb-18,64.439903,64.474998,64.260002,64.440498,64.440498
12-Feb-18,64.211304,64.364998,64.211197,64.211304,64.211304
13-Feb-18,64.283501,64.32,64.18,64.283501,64.283501
14-Feb-18,64.249802,64.279999,64.029999,64.250099,64.250099
15-Feb-18,64.0252,64.093002,63.860001,64.0252,64.0252
16-Feb-18,63.8909,64.43,63.813,63.8909,63.8909
19-Feb-18,64.379997,64.639999,64.242996,64.379997,64.379997
20-Feb-18,64.504997,64.940002,64.407997,64.504997,64.504997
21-Feb-18,64.864998,64.949997,64.727997,64.864998,64.864998
22-Feb-18,64.894997,65.110001,64.870003,64.894997,64.894997
23-Feb-18,64.951401,64.970001,64.682999,64.951401,64.951401
26-Feb-18,64.889999,65.029999,64.629997,64.703003,64.703003
27-Feb-18,64.781197,65.230003,64.720001,64.780403,64.780403
28-Feb-18,64.910004,65.599998,64.910004,64.910004,64.910004
1-Mar-18,65.239998,65.339996,65.110001,65.239998,65.239998
2-Mar-18,65.150002,65.279999,65.080002,65.150002,65.150002
5-Mar-18,65.186699,65.209999,64.93,65.186699,65.186699
6-Mar-18,65.003197,65.108002,64.794998,65.0037,65.0037
7-Mar-18,64.889999,65,64.849998,64.889999,64.889999
8-Mar-18,64.891197,65.400002,64.8703,64.891197,64.891197
9-Mar-18,65.090302,65.209999,64.940002,65.090401,65.090401
12-Mar-18,64.964897,65.290001,64.93,64.964897,64.964897
13-Mar-18,64.945503,65.239998,64.669998,64.945503,64.945503
14-Mar-18,64.827301,65.050003,64.75,64.828102,64.828102
15-Mar-18,64.834198,65.220001,64.769997,64.8368,64.8368
16-Mar-18,65.017197,65.040001,64.848,65.014397,65.014397
19-Mar-18,65.065002,65.294998,65.010002,65.065002,65.065002
20-Mar-18,65.210098,65.260002,65.154999,65.210098,65.210098
21-Mar-18,65.232597,65.260002,65.176697,65.232399,65.232399
22-Mar-18,65.065598,65.220001,65.014,65.065598,65.065598
23-Mar-18,65.160103,65.239998,64.924698,65.160004,65.160004
26-Mar-18,64.980499,65.029999,64.68,65.014999,65.014999
27-Mar-18,64.818001,65.040001,64.690002,64.695,64.695
28-Mar-18,64.935501,65.309998,64.809998,64.8955,64.8955
29-Mar-18,65.150497,65.400002,65.050003,65.1492,65.1492
30-Mar-18,65.108002,65.108002,65.019997,65.029999,65.029999
2-Apr-18,65.108002,65.120003,64.93,65.105499,65.105499
3-Apr-18,65.108002,65.139999,64.970001,65.139999,65.139999
4-Apr-18,64.992996,65.199997,64.900002,64.904999,64.904999
5-Apr-18,65.0355,65.199997,64.830002,64.995003,64.995003
6-Apr-18,64.880501,65.023003,64.82,64.861504,64.861504
9-Apr-18,64.920502,65.209999,64.805,64.904503,64.904503
10-Apr-18,64.947998,65.209999,64.82,64.870003,64.870003
11-Apr-18,64.940498,65.419998,64.925003,64.925301,64.925301
12-Apr-18,65.252998,65.440002,65.184998,65.190002,65.190002
13-Apr-18,65.280502,65.449997,65.178001,65.275703,65.275703
16-Apr-18,65.245499,65.669998,65.209999,65.195602,65.195602
17-Apr-18,65.460503,65.93,65.379997,65.429298,65.429298
18-Apr-18,65.670502,65.910004,65.57,65.675003,65.675003
19-Apr-18,65.710503,66.129997,65.710297,66.010002,66.010002
20-Apr-18,65.862999,66.349998,65.862999,66.114799,66.114799
23-Apr-18,66.2005,66.779999,66.139999,66.196899,66.196899
24-Apr-18,66.5205,66.533302,66.260002,66.544998,66.544998
25-Apr-18,66.400497,67.120003,66.379997,66.414101,66.414101
26-Apr-18,66.910301,66.940002,66.656303,66.9077,66.9077
27-Apr-18,66.797997,67.040001,66.594803,66.900002,66.900002
30-Apr-18,66.610497,66.610497,66.199997,66.610001,66.610001
1-May-18,66.450302,66.845001,66.449997,66.449997,66.449997
2-May-18,66.453003,67.029999,66.453003,66.788696,66.788696
3-May-18,66.800003,67.040001,66.330002,67.080002,67.080002
4-May-18,66.6605,66.93,66.580002,66.660004,66.660004
7-May-18,66.813004,67.470001,66.75,66.810501,66.810501
8-May-18,67.130501,67.330002,66.959999,67.118797,67.118797
9-May-18,67.160301,67.519997,67.160004,67.162498,67.162498
10-May-18,67.3405,67.599998,67.120003,67.620003,67.620003
11-May-18,67.235497,67.540001,67.07,67.389999,67.389999
14-May-18,67.350502,67.760002,67.190002,67.382202,67.382202
15-May-18,67.553001,68.32,67.468002,67.678001,67.678001
16-May-18,68.072998,68.480003,67.75,68.459999,68.459999
17-May-18,67.767998,68.059998,67.57,68.059998,68.059998
18-May-18,67.758003,68.419998,67.720001,68.139999,68.139999
21-May-18,67.983002,68.540001,67.978302,67.974998,67.974998
22-May-18,68.108002,68.400002,67.93,68.400002,68.400002
23-May-18,68.013,68.510002,68.010002,68.43,68.43
24-May-18,68.310303,68.404999,68.260002,68.650002,68.650002
25-May-18,68.2603,68.305,67.660004,68.260101,68.260101
28-May-18,67.723,67.723,67.239998,67.721703,67.721703
29-May-18,67.390503,67.989998,67.370003,67.402802,67.402802
30-May-18,67.830498,68.139999,67.370003,68.129997,68.129997
31-May-18,67.430298,67.769997,67.300003,67.43,67.43
1-Jun-18,67.420502,67.485001,66.919998,67.434998,67.434998
4-Jun-18,66.987999,67.32,66.870003,66.925003,66.925003
5-Jun-18,67.060303,67.300003,67,67.059998,67.059998
6-Jun-18,67.093002,67.138,66.790001,67.089996,67.089996
7-Jun-18,66.830498,67.470001,66.790001,66.830101,66.830101
8-Jun-18,67.410301,67.879997,67.300003,67.410004,67.410004
11-Jun-18,67.5205,67.849998,67.309998,67.510002,67.510002
12-Jun-18,67.462997,67.68,67.349998,67.489998,67.489998
13-Jun-18,67.473,67.910004,67.459999,67.910004,67.910004
