Date,Open_crude_oil_price,High_crude_oil_price,Low_crude_oil_price,Close_crude_oil_price,Adj Close_crude_oil_price,Volume_crude_oil_price
2-Jan-18,60.2,60.74,60.1,60.37,60.37,"510,313"
3-Jan-18,60.39,61.97,60.28,61.63,61.63,"673,859"
4-Jan-18,61.96,62.21,61.59,62.01,62.01,"654,363"
5-Jan-18,61.9,62.04,61.09,61.44,61.44,"563,036"
8-Jan-18,61.61,61.97,61.34,61.73,61.73,"616,474"
9-Jan-18,61.92,63.48,61.8,62.96,62.96,"844,720"
10-Jan-18,63.41,63.67,63.09,63.57,63.57,"697,844"
11-Jan-18,63.5,64.77,63.43,63.8,63.8,"876,642"
12-Jan-18,63.57,64.5,63.06,64.3,64.3,"678,727"
16-Jan-18,64.43,64.89,63.39,63.73,63.73,"867,771"
17-Jan-18,63.89,64.17,63.31,63.97,63.97,"444,384"
18-Jan-18,64.07,64.35,63.47,63.95,63.95,"204,504"
19-Jan-18,63.74,63.77,62.85,63.37,63.37,"142,711"
22-Jan-18,63.61,64.14,63.17,63.49,63.49,"625,662"
23-Jan-18,63.88,64.88,63.7,64.47,64.47,"662,456"
24-Jan-18,64.42,66.05,64.34,65.61,65.61,"887,018"
25-Jan-18,65.88,66.66,65.08,65.51,65.51,"771,758"
26-Jan-18,65.25,66.35,64.91,66.14,66.14,"678,186"
29-Jan-18,66.18,66.46,64.98,65.56,65.56,"656,168"
30-Jan-18,65.53,65.56,63.89,64.5,64.5,"688,380"
31-Jan-18,64.03,64.94,63.67,64.73,64.73,"613,258"
1-Feb-18,64.76,66.25,64.63,65.8,65.8,"685,750"
2-Feb-18,65.99,66.3,64.47,65.45,65.45,"857,572"
5-Feb-18,65.1,65.4,63.42,64.15,64.15,"891,063"
6-Feb-18,63.43,64.29,63.12,63.39,63.39,"797,814"
7-Feb-18,63.92,64.18,61.25,61.79,61.79,"1,029,408"
8-Feb-18,61.7,62.09,60.27,61.15,61.15,"929,578"
9-Feb-18,60.43,60.77,58.07,59.2,59.2,"933,307"
12-Feb-18,59.12,60.83,59.1,59.29,59.29,"736,917"
13-Feb-18,59.35,59.73,58.39,59.19,59.19,"580,600"
14-Feb-18,58.98,60.9,58.2,60.6,60.6,"650,324"
15-Feb-18,60.71,61.64,59.72,61.34,61.34,"340,401"
16-Feb-18,61.45,61.99,60.88,61.68,61.68,"181,179"
20-Feb-18,61.63,62.74,61.58,61.9,61.9,"794,481"
21-Feb-18,61.63,61.86,60.92,61.68,61.68,"466,924"
22-Feb-18,61.34,63.09,60.75,62.77,62.77,"592,603"
23-Feb-18,62.6,63.73,62.33,63.55,63.55,"460,597"
26-Feb-18,63.6,64.24,63.06,63.91,63.91,"469,853"
27-Feb-18,64.06,64.08,62.64,63.01,63.01,"562,670"
28-Feb-18,62.79,63.44,61.36,61.64,61.64,"768,409"
1-Mar-18,61.55,61.83,60.18,60.99,60.99,"812,505"
2-Mar-18,61.34,61.6,60.13,61.25,61.25,"613,514"
5-Mar-18,61.55,62.79,61.1,62.57,62.57,"599,266"
6-Mar-18,62.58,63.28,62.17,62.6,62.6,"634,953"
7-Mar-18,62.3,62.58,60.58,61.15,61.15,"879,119"
8-Mar-18,61.33,61.4,59.95,60.12,60.12,"720,510"
9-Mar-18,60.27,62.18,60.14,62.04,62.04,"659,722"
11-Mar-18,62.1,62.33,60.67,61.36,61.36,"537,990"
12-Mar-18,61.37,61.97,60.27,60.71,60.71,"747,738"
13-Mar-18,60.87,61.33,60.11,60.96,60.96,"665,017"
14-Mar-18,60.95,61.54,60.82,61.19,61.19,"430,201"
15-Mar-18,61.19,62.54,61.08,62.34,62.34,"202,493"
18-Mar-18,62.23,62.35,61.36,62.06,62.06,"115,962"
19-Mar-18,62.1,63.81,62.08,63.4,63.4,"717,709"
20-Mar-18,63.72,65.55,63.58,65.17,65.17,"763,768"
21-Mar-18,65.5,65.74,64.14,64.3,64.3,"689,172"
22-Mar-18,64.28,66,64.11,65.88,65.88,"752,994"
25-Mar-18,65.9,66.55,65.08,65.55,65.55,"585,899"
26-Mar-18,65.53,66.41,64.53,65.25,65.25,"670,811"
27-Mar-18,64.7,65.13,63.72,64.38,64.38,"697,678"
28-Mar-18,64.69,65.26,64.16,64.94,64.94,"562,819"
1-Apr-18,64.91,65.42,62.8,63.01,63.01,"582,742"
2-Apr-18,62.89,63.86,62.86,63.51,63.51,"527,289"
3-Apr-18,63.59,63.64,62.06,63.37,63.37,"760,596"
4-Apr-18,63.6,64.12,63.07,63.54,63.54,"588,597"
5-Apr-18,63.7,63.79,61.81,62.06,62.06,"753,262"
8-Apr-18,62,63.61,61.93,63.42,63.42,"655,831"
9-Apr-18,63.3,65.86,63.2,65.51,65.51,"840,280"
10-Apr-18,65.59,67.45,65.15,66.82,66.82,"963,017"
11-Apr-18,66.75,67.33,66,67.07,67.07,"687,468"
12-Apr-18,67.18,67.76,66.7,67.39,67.39,"624,203"
15-Apr-18,67.24,67.74,66.13,66.22,66.22,"560,076"
16-Apr-18,66.42,66.75,65.56,66.52,66.52,"486,076"
17-Apr-18,66.68,68.91,66.56,68.47,68.47,"221,664"
18-Apr-18,68.75,69.56,67.98,68.29,68.29,"125,993"
19-Apr-18,68.26,68.62,67.5,68.38,68.38,"724,906"
22-Apr-18,68.22,69.03,67.14,68.64,68.64,"740,941"
23-Apr-18,68.95,69.38,67.54,67.7,67.7,"832,296"
24-Apr-18,67.75,68.18,67.11,68.05,68.05,"764,049"
25-Apr-18,68.03,68.78,67.71,68.19,68.19,"660,549"
26-Apr-18,68.21,68.36,67.64,68.1,68.1,"542,549"
29-Apr-18,68.15,69.34,67.17,68.57,68.57,"755,186"
30-Apr-18,68.56,68.9,66.85,67.25,67.25,"694,771"
1-May-18,67.49,68.14,66.92,67.93,67.93,"789,367"
2-May-18,67.68,68.6,67.21,68.43,68.43,"691,219"
3-May-18,68.5,69.97,68.12,69.72,69.72,"690,876"
6-May-18,69.85,70.84,69.51,70.73,70.73,"758,916"
7-May-18,70.03,70.4,67.63,69.06,69.06,"1,253,566"
8-May-18,70.05,71.36,69.85,71.14,71.14,"863,386"
9-May-18,71.23,71.89,70.56,71.36,71.36,"749,808"
10-May-18,71.45,71.63,70.45,70.7,70.7,"634,145"
13-May-18,70.54,71.26,70.26,70.96,70.96,"592,826"
14-May-18,71.15,71.92,70.42,71.31,71.31,"815,289"
15-May-18,71.02,71.59,70.66,71.49,71.49,"574,279"
16-May-18,71.56,72.3,71.09,71.49,71.49,"562,639"
17-May-18,71.6,71.75,70.99,71.28,71.28,"211,785"
20-May-18,71.47,72.59,71.25,72.24,72.24,"119,892"
21-May-18,72.53,72.83,71.9,72.13,72.13,"723,458"
22-May-18,72.11,72.26,71.19,71.84,71.84,"702,791"
23-May-18,71.83,72,70.52,70.71,70.71,"640,725"
24-May-18,70.65,70.8,67.42,67.88,67.88,"955,354"
28-May-18,66.49,67.35,65.92,66.73,66.73,"1,059,750"
29-May-18,66.85,68.67,66.35,68.21,68.21,"726,886"
30-May-18,68.24,68.3,66.56,67.04,67.04,"917,563"
31-May-18,67.07,67.34,65.51,65.81,65.81,"781,103"
3-Jun-18,65.71,66.04,64.57,64.75,64.75,"696,050"
4-Jun-18,64.94,65.57,64.22,65.52,65.52,"714,674"
5-Jun-18,65.51,65.96,64.27,64.73,64.73,"708,829"
6-Jun-18,65.07,66.07,64.81,65.95,65.95,"675,041"
7-Jun-18,65.98,66.24,65.15,65.74,65.74,"571,224"
10-Jun-18,65.56,66.35,64.85,66.1,66.1,"558,281"
11-Jun-18,66.05,66.7,65.87,66.36,66.36,"524,411"
12-Jun-18,66.01,66.89,65.52,66.64,66.64,"626,398"
13-Jun-18,66.62,67.16,66.36,66.89,66.89,"460,168"
14-Jun-18,66.62,67.16,64.29,65.06,65.06,"512,591"
17-Jun-18,64.4,65.98,63.59,65.85,65.85,"218,933"
18-Jun-18,65.82,65.9,64.39,65.07,65.07,"122,646"
19-Jun-18,65.11,66.53,65.01,66.22,66.22,"801,625"
20-Jun-18,65.34,66.22,64.34,65.54,65.54,"760,719"
21-Jun-18,65.93,69.38,65.71,68.58,68.58,"1,136,232"
24-Jun-18,68.75,69.44,67.78,68.08,68.08,"816,207"
25-Jun-18,68.21,70.91,67.72,70.53,70.53,"848,537"
