Date,Open,High,Low,Close*,Adj Close**,Volume
29-Dec-22,"1,805.80","1,819.50","1,805.80","1,819.50","1,819.50",434
28-Dec-22,"1,803.20","1,807.90","1,803.10","1,807.90","1,807.90",434
27-Dec-22,"1,803.40","1,826.30","1,803.40","1,814.80","1,814.80",69
26-Dec-22,-,-,-,-,-,-
23-Dec-22,"1,794.30","1,802.80","1,794.10","1,795.90","1,795.90",49
22-Dec-22,"1,818.10","1,818.10","1,785.00","1,787.00","1,787.00",411
21-Dec-22,"1,817.40","1,821.40","1,814.40","1,815.90","1,815.90",35
20-Dec-22,"1,786.50","1,821.40","1,786.50","1,815.90","1,815.90",51
19-Dec-22,"1,791.60","1,796.30","1,785.60","1,787.70","1,787.70",79
16-Dec-22,"1,777.90","1,791.40","1,777.90","1,790.00","1,790.00",206
15-Dec-22,"1,801.00","1,801.00","1,774.80","1,777.20","1,777.20",421
14-Dec-22,"1,810.80","1,812.80","1,797.90","1,807.50","1,807.50","1,074"
13-Dec-22,"1,780.70","1,819.80","1,780.50","1,813.90","1,813.90",205
12-Dec-22,"1,787.30","1,793.90","1,777.70","1,780.50","1,780.50",85
9-Dec-22,"1,794.90","1,804.30","1,791.10","1,798.10","1,798.10",125
8-Dec-22,"1,782.00","1,790.90","1,782.00","1,788.70","1,788.70",713
7-Dec-22,"1,769.30","1,790.30","1,769.30","1,785.50","1,785.50",422
6-Dec-22,"1,768.60","1,779.40","1,767.90","1,769.30","1,769.30",105
5-Dec-22,"1,795.70","1,808.00","1,764.30","1,767.40","1,767.40","1,713"
2-Dec-22,"1,802.00","1,802.30","1,779.40","1,795.90","1,795.90","1,725"
1-Dec-22,"1,768.70","1,803.70","1,768.70","1,801.10","1,801.10","1,053"
30-Nov-22,"1,748.10","1,769.40","1,745.10","1,746.00","1,746.00","3,339"
29-Nov-22,"1,739.50","1,758.20","1,737.90","1,748.40","1,748.40","19,416"
