Date,Open_gold_price,High_gold_price,Low_gold_price,Close_gold_price,Adj Close_gold_price,Volume
2-Jan-18,"1,302.30","1,317.60","1,302.30","1,313.70","1,313.70",68
3-Jan-18,"1,320.00","1,320.10","1,312.10","1,316.20","1,316.20",42
4-Jan-18,"1,319.40","1,322.00","1,319.40","1,319.40","1,319.40",2
5-Jan-18,"1,320.30","1,320.30","1,320.30","1,320.30","1,320.30",1
8-Jan-18,"1,319.90","1,319.90","1,314.60","1,318.60","1,318.60",41
9-Jan-18,"1,309.60","1,311.70","1,309.60","1,311.70","1,311.70",16
10-Jan-18,"1,320.30","1,320.70","1,315.30","1,317.40","1,317.40",70
11-Jan-18,"1,317.10","1,320.60","1,316.30","1,320.60","1,320.60",9
12-Jan-18,"1,327.80","1,338.20","1,327.80","1,333.40","1,333.40",14
16-Jan-18,"1,331.10","1,335.40","1,331.00","1,335.40","1,335.40",13
17-Jan-18,"1,334.40","1,338.00","1,326.80","1,338.00","1,338.00",27
18-Jan-18,"1,328.90","1,328.90","1,326.00","1,326.00","1,326.00",211
19-Jan-18,"1,330.10","1,333.00","1,330.10","1,331.90","1,331.90",50
22-Jan-18,"1,328.40","1,330.90","1,328.40","1,330.90","1,330.90",162
23-Jan-18,"1,335.80","1,335.90","1,335.70","1,335.70","1,335.70",47
24-Jan-18,"1,355.90","1,357.20","1,355.90","1,355.90","1,355.90",18
25-Jan-18,"1,356.30","1,362.40","1,346.70","1,362.40","1,362.40",4
26-Jan-18,"1,351.60","1,352.00","1,350.90","1,351.60","1,351.60","280,546"
29-Jan-18,-,-,-,-,-,-
30-Jan-18,"1,338.70","1,347.80","1,332.80","1,335.40","1,335.40","52,100"
31-Jan-18,"1,337.50","1,346.90","1,331.80","1,339.00","1,339.00","4,881"
1-Feb-18,"1,343.80","1,350.60","1,336.80","1,344.30","1,344.30","1,680"
2-Feb-18,"1,348.50","1,352.10","1,327.70","1,333.70","1,333.70","2,841"
5-Feb-18,"1,331.10","1,340.20","1,329.00","1,333.00","1,333.00",641
6-Feb-18,"1,338.20","1,343.70","1,319.50","1,326.10","1,326.10",529
