Date,Volume_nifty_50,crude_oil_price,usd_vs_inr,gold_price,nifty_50,change in oil,change in usd vs inr,chang in gold price,change in volume,change in nifty 50,oil,usd vs inr,gold price,volume,nifty 50
1/2/2018,153400,60.37,63.867599,1313.7,10442.2002,0.36,-0.4078,2.5,13800,64.55,1,0,1,1,1
1/3/2018,167300,61.63,63.459999,1316.2,10443.2002,1.26,-0.4076,2.5,13900,1,1,0,1,1,1
1/4/2018,174900,62.01,63.419102,1319.4,10504.79981,0.38,-0.040897,3.2,7600,61.59961,1,0,1,1,1
1/5/2018,180900,61.44,63.369598,1320.3,10558.84961,-0.57,-0.049504,0.9,6000,54.0498,0,0,1,1,1
1/8/2018,169000,61.73,63.264999,1318.6,10623.59961,0.29,-0.104599,-1.7,-11900,64.75,1,0,0,0,1
1/9/2018,205000,62.96,63.452,1311.7,10637,1.23,0.187001,-6.9,36000,13.40039,1,1,0,1,1
1/10/2018,176400,63.57,63.636101,1317.4,10632.2002,0.61,0.184101,5.7,-28600,-4.7998,1,1,1,0,0
1/11/2018,153800,63.8,63.759998,1320.6,10651.2002,0.23,0.123897,3.2,-22600,19,1,1,1,0,1
1/12/2018,175200,64.3,63.6721,1333.4,10681.25,0.5,-0.087898,12.8,21400,30.0498,1,0,1,1,1
1/16/2018,211000,63.73,63.521198,1335.4,10700.4502,-0.57,-0.150902,2,35800,19.2002,0,0,1,1,1
1/17/2018,252700,63.97,63.994301,1338,10788.54981,0.24,0.473103,2.6,41700,88.09961,1,1,1,1,1
1/18/2018,312000,63.95,63.825001,1326,10817,-0.02,-0.1693,-12,59300,28.45019,0,0,0,1,1
1/19/2018,207600,63.37,63.867599,1331.9,10894.7002,-0.58,0.042598,5.9,-104400,77.7002,0,1,1,0,1
1/22/2018,231600,63.49,63.8321,1330.9,10966.2002,0.12,-0.035499,-1,24000,71.5,1,0,0,1,1
1/23/2018,284600,64.47,63.8801,1335.7,11083.7002,0.98,0.048,4.8,53000,117.5,1,1,1,1,1
1/24/2018,283400,65.61,63.7505,1355.9,11086,1.14,-0.1296,20.2,-1200,2.2998,1,0,1,0,1
1/25/2018,330300,65.51,63.5779,1362.4,11069.65039,-0.1,-0.1726,6.5,46900,-16.34961,0,0,1,1,0
1/29/2018,241700,65.56,63.57,1348.4,11130.40039,0.05,-0.0079,-14,-88600,60.75,1,0,0,0,1
1/30/2018,228000,64.5,63.669399,1335.4,11049.65039,-1.06,0.099399,-13,-13700,-80.75,0,1,0,0,0
